Date,High,Low,Open,Close,Volume,Adj Close,change % of close,diff,gain,loss,avg_gain,avg_loss,rs,rsi,5-day moving average,20-day moving average,MACD,Signal,Histogram,Upper Bollinger Band,Lower Bollinger Band,Close next day
2016-01-04,147.5,143.0,146.5,143.0,2148814.0,110.11006927490234,-3.050847457627119,-4.5,0.0,4.5,0.5967944852026028,0.7265285796834008,0.821432909717974,45.09816998119149,146.34000244140626,144.88000106811523,0.8629738768305515,0.8705287907715633,-0.0075549139410118205,148.41842132180471,141.34158081442575,144.60000610351562
2016-01-05,144.8000030517578,142.39999389648438,142.5,144.60000610351562,1210200.0,111.34209442138672,1.1188853870738635,1.600006103515625,1.600006103515625,0.0,0.6684524579392471,0.6746336811345864,0.9908376599505915,49.769887313422736,146.14000244140624,144.96000137329102,0.719703837230611,0.8403638000633729,-0.12065996283276181,148.390145675095,141.52985707148704,142.3000030517578
2016-01-06,145.5,141.6999969482422,145.5,142.3000030517578,1801440.0,109.57108306884766,-1.59059678746576,-2.3000030517578125,0.0,2.3000030517578125,0.6207058538007295,0.7907314933219597,0.784976770297928,43.97686196033288,145.10000305175782,144.89500122070314,0.4157774506547298,0.7554465301816442,-0.3396690795269144,148.47945539520404,141.31054704620223,137.39999389648438
2016-01-07,141.89999389648438,137.3000030517578,141.39999389648438,137.39999389648438,2968078.0,105.79808807373047,-3.443435734496218,-4.9000091552734375,0.0,4.9000091552734375,0.5763697213863918,1.0842513263184939,0.5315831370420531,34.708082387789915,142.96000061035156,144.64000091552734,-0.21796363897104243,0.5607644963511069,-0.7787281353221494,149.45594114822472,139.82406068282995,138.0
2016-01-08,139.3000030517578,137.5,138.3000030517578,138.0,2505791.0,106.26009368896484,0.4366856842567714,0.600006103515625,0.600006103515625,0.0,0.5780580343956228,1.00680480301003,0.5741510496050584,36.473694805152796,141.06000061035155,144.37500076293946,-0.6641367848193624,0.31578424011701306,-0.9799210249363755,150.01429145759064,138.73571006828828,135.10000610351562
2016-01-11,137.8000030517578,135.0,136.0,135.10000610351562,1561422.0,104.0270767211914,-2.1014448525249096,-2.899993896484375,0.0,2.899993896484375,0.5367681747959354,1.1420325954010546,0.47001125620887835,31.973310015395754,139.4800018310547,143.94500122070312,-1.2374726739093376,0.005132857311742928,-1.2426055312210804,150.9476999706245,136.94230247078173,133.60000610351562
2016-01-12,136.0,133.10000610351562,136.0,133.60000610351562,2654307.0,102.87207794189453,-1.1102886248951593,-1.5,0.0,1.5,0.49842759088194005,1.1676016957295505,0.42688152364365006,29.91709658932129,137.28000183105468,143.43500137329102,-1.7922233257728806,-0.3543383793051818,-1.4378849464676988,151.82955354257746,135.04044920400457,133.60000610351562
2016-01-13,134.39999389648438,133.10000610351562,133.10000610351562,133.60000610351562,2319377.0,102.87207794189453,0.0,0.0,0.0,0.0,0.46282562010465866,1.0842015746060112,0.4268815236436501,29.91709658932129,135.54000244140624,142.89500198364257,-2.206432829930634,-0.7247572694302722,-1.4816755605003618,152.35059724898022,133.43940671830492,133.89999389648438
2016-01-14,134.10000610351562,131.39999389648438,132.0,133.89999389648438,1854911.0,103.10306549072266,0.22454175094596493,0.29998779296875,0.29998779296875,0.0,0.451194346737808,1.0067586049912962,0.44816537400413753,30.947112950572247,134.84000244140626,142.40500183105468,-2.481880761897969,-1.0761819679238116,-1.4056987939741574,152.66631896471324,132.1436846973961,132.3000030517578
2016-01-15,134.3000030517578,132.1999969482422,134.10000610351562,132.3000030517578,1087899.0,101.8710708618164,-1.1949148003423256,-1.5999908447265625,0.0,1.5999908447265625,0.41896617911367884,1.0491323364009582,0.3993454062725201,28.538015309334455,133.70000305175782,141.8400016784668,-2.7970386020568867,-1.4203532947504267,-1.37668530730646,153.0269108600725,130.6530924968611,130.0
