Date,High,Low,Open,Close,Volume,Adj Close,change % of close,diff,gain,loss,avg_gain,avg_loss,rs,rsi,5-day moving average,20-day moving average,MACD,Signal,Histogram,Upper Bollinger Band,Lower Bollinger Band,Close next day
2016-01-04 00:00:00,147.5,143,146.5,143,2148814,110.1100616,-3.050847458,-4.5,0,4.5,0.596794485,0.72652858,0.82143291,45.09816998,146.3400024,144.8800011,0.862973877,0.870528791,-0.007554914,148.4184213,141.3415808,144.6000061
2016-01-05 00:00:00,144.8000031,142.3999939,142.5,144.6000061,1210200,111.3420639,1.118885387,1.600006104,1.600006104,0,0.668452458,0.674633681,0.99083766,49.76988731,146.1400024,144.9600014,0.719703837,0.8403638,-0.120659963,148.3901457,141.5298571,142.3000031
2016-01-06 00:00:00,145.5,141.6999969,145.5,142.3000031,1801440,109.5710831,-1.590596787,-2.300003052,0,2.300003052,0.620705854,0.790731493,0.78497677,43.97686196,145.1000031,144.8950012,0.415777451,0.75544653,-0.33966908,148.4794554,141.310547,137.3999939
2016-01-07 00:00:00,141.8999939,137.3000031,141.3999939,137.3999939,2968078,105.7980881,-3.443435734,-4.900009155,0,4.900009155,0.576369721,1.084251326,0.531583137,34.70808239,142.9600006,144.6400009,-0.217963639,0.560764496,-0.778728135,149.4559411,139.8240607,138
2016-01-08 00:00:00,139.3000031,137.5,138.3000031,138,2505791,106.2600479,0.436685684,0.600006104,0.600006104,0,0.578058034,1.006804803,0.57415105,36.47369481,141.0600006,144.3750008,-0.664136785,0.31578424,-0.979921025,150.0142915,138.7357101,135.1000061
2016-01-11 00:00:00,137.8000031,135,136,135.1000061,1561422,104.0270767,-2.101444853,-2.899993896,0,2.899993896,0.536768175,1.142032595,0.470011256,31.97331002,139.4800018,143.9450012,-1.237472674,0.005132857,-1.242605531,150.9477,136.9423025,133.6000061
2016-01-12 00:00:00,136,133.1000061,136,133.6000061,2654307,102.8720779,-1.110288625,-1.5,0,1.5,0.498427591,1.167601696,0.426881524,29.91709659,137.2800018,143.4350014,-1.792223326,-0.354338379,-1.437884946,151.8295535,135.0404492,133.6000061
2016-01-13 00:00:00,134.3999939,133.1000061,133.1000061,133.6000061,2319377,102.8720779,0,0,0,0,0.46282562,1.084201575,0.426881524,29.91709659,135.5400024,142.895002,-2.20643283,-0.724757269,-1.481675561,152.3505972,133.4394067,133.8999939
2016-01-14 00:00:00,134.1000061,131.3999939,132,133.8999939,1854911,103.1030579,0.224541751,0.299987793,0.299987793,0,0.451194347,1.006758605,0.448165374,30.94711295,134.8400024,142.4050018,-2.481880762,-1.076181968,-1.405698794,152.666319,132.1436847,132.3000031
2016-01-15 00:00:00,134.3000031,132.1999969,134.1000061,132.3000031,1087899,101.8710861,-1.1949148,-1.599990845,0,1.599990845,0.418966179,1.049132336,0.399345406,28.53801531,133.7000031,141.8400017,-2.797038602,-1.420353295,-1.376685307,153.0269109,130.6530925,130
2016-01-18 00:00:00,131.8000031,129.6999969,131.5,130,2219705,100.1000595,-1.738475434,-2.300003052,0,2.300003052,0.389040023,1.138480245,0.34171873,25.4687307,132.6800018,140.9800018,-3.195558081,-1.775394252,-1.420163829,153.0422269,128.9177768,129.1000061
2016-01-19 00:00:00,131.3999939,126.9000015,131.3999939,129.1000061,2635783,99.40707397,-0.692302997,-0.899993896,0,0.899993896,0.36125145,1.121445505,0.322130187,24.36448318,131.7800018,140.2050018,-3.54316621,-2.128948644,-1.414217567,153.2404144,127.1695892,125.1999969
2016-01-20 00:00:00,129,125.0999985,129,125.1999969,3007831,96.40406799,-3.020920969,-3.900009155,0,3.900009155,0.335447775,1.319914338,0.254143595,20.26431394,130.1,139.2600014,-4.086242641,-2.520407443,-1.565835198,153.7640698,124.7559329,121.4000015
2016-01-21 00:00:00,127,121.0999985,127,121.4000015,3830091,93.47807312,-3.035140188,-3.799995422,0,3.799995422,0.31148722,1.497062987,0.208065541,17.22303416,127.6000015,138.0700016,-4.768296543,-2.969985263,-1.79831128,154.322108,121.8178952,122.9000015
